Colony Size|Avg Sleep Time|Avg Yodel Time|Time Silent %|Time Melodius %|Time Screechy %|Attempted Yodels|Perfect Yodels 

1|100.000000|10.000000|90.879271|9.120729|0.000000|9049|9049
2|100.000000|10.000000|82.637642|16.523928|0.838430|18059|14798
4|100.000000|10.000000|68.271833|27.330207|4.397960|36124|20057
8|100.000000|10.000000|46.256615|37.635516|16.107868|72727|18646
16|100.000000|10.000000|21.182798|34.944947|43.872256|145432|7647
32|100.000000|10.000000|4.677410|14.831259|80.491332|291082|753
64|100.000000|10.000000|0.221140|1.377540|98.401320|581373|5
128|100.000000|10.000000|0.000870|0.008480|99.990650|1162798|12
